sentiment,txt
negative,ما شاء الله والله انها امر متل الكرتون
positive,﻿الفرح  فرح  و سرور 
positive,الله يرحمنا برحمته
positive,الكرامة فوق كل شيء
negative,﻿المشكله احنا امه لا تتعلم من غيرها تسريب المفاعل الياباني و الكثير الكثير ا.. احدى الدول الاوروبيه اعلنت باستبدال المفاعلات النوويه بطاقه البديه و الغريب انه بنفس اليوم اعلنت السعوديه بانشاء مفاعلات نوويه (سلميه) لا ذكر اسم الدوله الاوروبيه اعتقد المانيا ..انني اقسم بالله العظيم انني افضل النوم بكير و استغني عن الكهرباء كليا اذا كانت بمفاعل نووي على الاراضي الاردنيه
negative, من جد مجنون 
positive,العبرة بالختام
positive,﻿صباح الدرب للجنة
negative,شو بالا يا دانيا و المشكلة مش عارفه تكتب هعهعه
negative,يااخى عيب عليك لما تعمل مقارنه بين المصحف والحاجه دى وبعدين مين الملحد اللى انته تعرفه ده يا د يا نصر
positive,﻿الله احفظ احبابي و اصدقائي من الحسد و الكيد و الفتنة و العين
positive,خلتنى ابتسم رغم انى مكتئبة جدا 
negative,ماشي هسا انا صرت ولة طيب في حدا بيشبهك كتتير
negative,﻿هههههههههههههههههههههههههه الحلو انكم بتحكوا على اساس انو الأردن ما فيه فساد و سرقات ...........
negative,﻿الانكسار من اسوء الاشياء
negative,﻿ والله على بالي مجنون 
positive,اعنا يا ربنا
negative,فشرت عينك 
negative,بكفينا اللي بنشوفو من الدكاترة في الو الواحد نفس يعمل اشي منه
negative,﻿  الله يلعنكم يا اولاد الحرام الفن له اهله وناسه لا يحتاج لا مسابقة ولا زبي تفو
positive,ما في أحلى من التفائل الواحد بعيش مرتاح
positive,وعجلت اليك ربي لترضى
negative,بس الله لا يسامحكم و تلقوها بصحتكم ان شاء الله.
negative,اصلا كتير من البنات بدهن يحكن مع الشباب
negative, عالم فاضيه بيسموا الغناء فن بيشغلوا الناس
positive,يجب على كل مسلم الإعتزاز بدينه في جميع الأمور صغيرها و كبيرها
negative, هي عندها صوت قوي بس للأسف الحين مثل غيرها !
positive,﻿يا رب اللهم اجعلنى خير مما يظنون و اغفر لى ما لا يعلمون
negative,﻿ يا سيدي هدول عاهات ولله يعني فيك تسحب عليهم قرض من البنك كونهم عاهات 
positive,يا لطيف ألطف بنا
negative,شو يعني بدك ايانا نحكي من وراكي مش حلوة 
positive,﻿يجب دائما أن نعتني بالورود لكي تكبر
positive,وكل منهو دنا منك
positive,ان شاء الله ربنا يعينا على فعل الطاعات
negative,﻿اللة لا يشبعكو يا حرامية
positive,دخيل عينك يادكتور كلامك ذهب
positive,الله حيهم ما اكبرهم هالسباب
positive,سبحان يهدي من يشاء ﻻإله إﻻالله محمدرسول الله
negative, والله انك مهزله
positive,مفيش اجمل من ان الانسان يحافظ على كرامته
positive,﻿صح كلامك و أحلى حكمة و محد يبقى للنهاية رغم اتفاق الطرفين
negative, يخرب زوءك 
negative,انتم يا قطريه شن عارفكم السياسه انتم لاعندكم جيش ولا استراتجيه ثابته انتم عملاء امريكا يا خونه
positive,﻿يا عالي بلا درج
negative,بعرف بس مو حلو
positive,وعلي الله قصد السبيل
positive,اللهم اجعلنا من اللذين يصلحون فى الارض ولا يفسدون
negative,مقاسك غير مناسب يا شريف مع نفسك
negative,﻿سوبر طقاع .........﻿ اول واحد جايته زبيريه 
negative,﻿إلى إعتصام مفتوح (ميدان تحرير ) للتخلص من قوى الفساد و الإفساد
positive,أسوء شيء ان تكذب لأنك ستبدأ سلسلة لا نهاية لها من الأكاذيب و في النهاية ستكشف
positive,اللهم اهدنى الى ما تحب و ترضى
positive,مااجمل الوفاء
negative,كلب واطي 
negative,﻿ .. مسخرة
positive,﻿ولا تنسو تبسمك في وجه اخيك صدقه
positive,﻿ماأجمل الحب و الأخوة في الله أن نخاف على بعضنا حتى في علاقتنا مع ربنا شئ رائع جدا 
negative,﻿ لازم يحكم عليهم بالسجن
positive,الزمن الجميل 
negative,﻿الرفض القاطع للمشروع لانه بس يتم و يشتغل تمام رايح ينباع او يتم تاجيره و نصير نشتري وقود مخصب و يصير اغلى من الكهربا لانه للاسف ما فيه شي بعيد عن ايدي المفسدين و الاستغلاليين او يصير زي مشروع تسمين البقر ؛ينتجو الطاقه و تروح لاطراف خارجيه خالرج اطار حاجة العامه
negative,﻿يا أخوان القصه مش قصة طاقه متجدده او نوويه الموضوع كالتالي سواء عملنا هاي او تلك كلوا رايح في جيبة فلان و علنتان زي ما باعوا البوناس و الفوسفات و من اسبوعين لما باعوا المطار لشركه فرنسيه هيك رح يصير بالمفاعل النووي او محطات الطاقة المتجدده يعني بين قوسين آخريتها تنباع فقبل ما انلم تواقع لازم نلم بعضنا و نروح نحاسب كل واحد لعب قمار فينا و نحاسب كل واحد باع شغله بتخصنا و بتخص بلدنا بدون ما يوخذ رأينا لأنو احنا بلشنا نعد لورى و بعتذر على الإطاله........
negative,اذا كان هيك الخبر انا ما بدي اعيش
positive,ارضى عني يا رب
positive,﻿من احبه الله  حبب به خلقه
positive,﻿اذا لم تقل لا للظلم فسيستمر إلى الابد
positive,حماك الله من النكد
positive,شبابنا زي الوردة بس بدهم حدا يدعمهم
negative, يضحكون و م شاففوا انفسهم ، لو قلنا غنوا جابوا الععيد فالحين بس في الظرافةة هـ الشيبان
positive,اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك يا رب
positive,﻿صراحة الارادة و القناعة هيا الغنى الاكتفاء
positive,ادعي من الله ان يقوني علي طاعته
negative,لهم صارو يبيعو و يشترو في البلد متل ما بدهم
negative, والله شويه عبط الي بيغنو والحكام كمان
negative,﻿مين هااي الي بصورة وئدامها كورس 
negative,الله يجعل ابوك وامك من اهل النار اذا بتعيد هالحركه مره ثانيه
positive,﻿اللهم اني اسالك اخلاص النية و كرم الطوية
negative,مشان الله حد يعمله هوشة بدنا نعطللنا شوي
negative,نذاله ههههههههههههههههه
positive,قصة حقيقية رائعة فيها عبرة لكل زوج وزوجة فيها المودة والرحمة 
positive,أفتخر إني مسلم نعمه من نعم ربي
positive,يا عمي ما في احلى من الاكبل
negative,هاض بعرفو بس مقرف
negative,اسفل من بعضهم
negative,﻿حسبنا الله و نعم الوكيل فيكوا
negative,﻿الطاقة الشمسية هي البديل و ليست النووية
negative,كلهم فاجرين
negative,المشكلة في ناس تقنع حالها أنه جورج وسوف له علاقة بالأغاني  
negative, لا حول ولا قوة الا بالله ليش الحرج هدا
negative,خلص اخرسن انا قرفت اكتر منكن
positive,لا ربنا يرحمنا برحمته
positive,اللهم انر قلوب المسلمين و ايقظهم من غفلتهم 
positive,﻿سبحان الله مواقف لها معنى و قيمة و فعلا تعلم ما شاء الله .. 
positive,امتنا ما في زيها 
negative,لا تفهمي غلط حبيبتي
positive,﻿املأ رئتيك بعبق السماء مع ولادة صباح جديد تهتز له الحياة و تحتفل .. أيقظ عقلك بالنور .. و ابعث همتك حية متوثبة ، لتطوي نهارك في فرح
negative,﻿ام التحطيم
negative, حسيت كله تمثيل وسخافة و غباء
negative,اطالب برحيل هذه الحكومة
negative,كله لايك لا اتفشلوني
positive,اللهم معنا علي طاعتك ورضاك وقوي عذامئنا "
positive,الحمد لله الذي هدانا لهذا..."
positive,الله اكبر ولله الحمد مصر بخير فيها ناس كتير طيبين 
positive,اني احبك في الله
positive,﻿الابتسامه جميله
positive,صباح كل جميل في هذا الكون
positive,قصه جميله ودايما انا بحب اسمع البرنامج
negative,بخزي
positive,اروع صفحة
positive,ربنا يهديني ويجعلني من الخاشعين والمسلمين اجمعين
negative,اعطيه علي راسي هدا الصح ياحاجه الله اكبر
positive,اما في الدين فتصير اخوة في الله وهي ارقى العلاقات الانسانية...بصحيح الحديث (رب اخ لم تلده امك)
positive,﻿صباح النور و السرور و الورد المنثور
negative,ايس شراع القرف
negative, بعن الله ابوك انت وعدوله يالسامج
negative, الشب السوري positive:2negative مظلوم 
positive,يا طيبة الخير جينا
positive,بارك الله فيك
negative,﻿الرفض القاطع للمشروع لانه بس يتم و يشتغل تمام رايح ينباع او يتم تاجيره و نصير نشتري وقود مخصب ويصير اغلى من الكهربا لانه للاسف ما فيه شي بعيد عن ايدي المفسدين و الاستغلاليين او يصير زي مشروع تسمين البقر ؛ينتجو الطاقه وتروح لاطراف خارجيهخالرج اطار حاجة العامه
positive,والله انت الحبيبة يا طيبة
positive,ان الجميل اذا اخفيته ظهرا
positive,اعمل ايه لو عاوزة اشترك مع نهر الخير
positive,فاهجر تجد عوضا عما تفارقه
negative,﻿ مجرم 
negative,فقد عجزت الكلمات 
positive,﻿كلام طيب
negative, ودي اكسر الابتوب على راسه ..
positive,﻿صباحات العقول اليقظة و الهمم الحيية المتوثبة 
positive,الله الله على اخلاق الصحابه...اصحاب رسول الله
positive,اللهم اهدنا فيمن هديت وعافنا فيمن عافيت
negative,﻿للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي "كما اعلنت هيئة الطاقة" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل
positive,ربك دايما جنبك لو نديته هتلاقيه 
positive,اكرمك الله يا استاذي الفاضل 
negative,الي انا شايفو انو المفاعل راح ينعمل في الاردن و راح يخدم دول تانية.... يعني مش عشان سواد عيونا...
negative,اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفة 
positive,ما في احلى من انه الواحد يوكل وينام
positive,﻿البسك الله ثوب الصحه و العافيه صباحك ورد
positive,﻿سلمت ... و سلمت يداك ... انها الاخلاق الكريمة التي علمنا اياها رسولنا الاعظم صلوات الله و سلامه عليه ... و اننا انشاء الله سنفعل ما بوسعنا حتى نرسم صورة راقية و جميلة عن ديننا و اخلاقنا .. و الله المستعان
negative,دلوعه حيوانه﻿
negative,يا امة ضحكت من جهلها الامم
negative, انا ابو عدولة هذا لو قدامي صدق اني راح العن ابو من جابه
negative, اه يا ابو القمل
positive,من يتوكل على الله فهو حسبه
positive,مافى أجمل من قوله يارب ومن يتجه الى الله عز وجل لن يتركه الله ابدا
positive,على الأقل هناك رجل وفي لإمرأة أحبها وهذا يسعدني
negative,﻿ اقسم بالله انه منتهيي 
positive,إذا غلبك أمر وعجزت عن التعامل معه فكرر ((يا حي يا قيوم برحمتك استغيث))
positive,يعطيك العافية 
positive,الله يهدي الجميع للاسلام 
negative, بنص المقطع سقاله موطبيعيه
positive,الله يهدي التائهين والضالين الى طريقه
negative, مبرد وجوهكم
positive,لا تحزن على دنا فانية بل احزن على آخرة باقية
negative,﻿ هذول مخانيث ]
positive,ربنا يكتر من امثالك يا مصطفى
positive,بوركت
positive,من ترك شيئا لله عوضه الله نورا وايمانا في قلبه
negative,﻿مع مين بتحكي بتول انشالله مع حالك 
positive,خلق الايثار
negative,لان ديانا كرزون البغله الاردنيه لا تستحق ذلك
negative,عني كل يعلقو الا انا
positive,نعم الاخ وما أطيب قلبه
positive,﻿مااكرمك يا ربي يا كريم
negative,صحيح انك سافل
positive,حلو كلامك عزيزي
negative,تفوووو عليك
positive,أنا أقدر الاخلاص و الوفاء بشكل كبير 
positive,بسمة امل حلوة 
negative,سلطان القرف 
positive,﻿اللهم أعنا على ذكرك و شكرك و حسن عبادتك
positive,ربنا يكرمك يا دكتور
positive,﻿كنت أخادع الحيـاة لكي أعيش كما أريد .. لكن الحياة خدعتني و عشت كما هي تريد
positive,الله يفرح الكل ويجمع بين المتحابين على خير
positive,صباح ﺎلإشتياق لِتلک ﺎلتي تَجّري مِن تَحّتِہا ﺎلأنہَار لا حُزنَ فِيہا 
negative,خمسة مليون يوقعوا علي رفض المفاعل لانة سوف يدمر الاردن لان التقدم ياتي من خلال عدم النهب للمال العام يعني يجب وقف النهب وهذا مشروع فاشل من يومة
positive,ما اروعهم 
positive,اللهم استخدمنا في طاعتك
negative, جزمتي و الا اقولك اسفل جزمتي الثورة في سوريا ما اشعلها الا الوهابيين اللي هم السلفيين 
positive,اللهم إني اسألك صبراً
positive,#احسنوا الظن 
negative,خسئو وخسئ امثالهم ومن طاوعهم
positive,ربنا يحميك
negative,﻿ بطني وجعتني من الضحك
negative,﻿ يشبه رغد مجنونة هيافاء
negative, هذا صدق ولا مجنون ولا يستهبل وش القصة
negative,الحمد الله علشان نرتاح من جميلة الدعم
negative, لا عنجد زلمة ............ شكلو بخوف
negative,حتى نعرف نحل مشكلة المجاري بعدين منعمل مفاعلات
negative, قسسم انه استهبال باستهبال
positive,يرزق من يشاء بغير حساب
positive,اللهم اجعلنا ممن يعطي الامانة حقه
positive,﻿الدعوة مش بالكلام بس ممكن نكون دعاة بأخلاقنا و أسلوبنا و تعاملنا 
negative, اصلا سوبر ستار للعاهات
negative, لآ مش فاهماك
negative,شفتها اقول وشذا الكيك*&^
positive,الحمد لله على الفهم
positive,صباح الخير والفل
negative,يع حاسة حالي بدي استفرغ
negative,﻿ليش ما نتعلم من الي صار في اليابان، وروسيا، ألمانيا ألغت نظرتها في بناء مفاعلات نووية و استخدام الطاقة البديلة.
positive,وياريت بتظبط الكذب ماوش رجلي
negative,﻿كنا نقول البلد حاميها حراميها و ماذا سنقول الأن مفتيها حراميها و الله الواحد تحير في هذه الامة التي اصبح الحليم فيها حيران 
positive,بنحاول فى كل مره نكون افضل
positive,يارب كرهنى وابعدنى فيما يغضبك
negative, انت ما شفت النسخة الاوروبية والامريكية والماليزية من نفس البرنامج فيها بلاوي اكثر من كذا بس حنا العرب فينا عقدة النقص والتخلف
positive,﻿فالأول يصحح مساري و الثاني يزيد من أصراري
positive,وبشر الصابرين
negative,ماعندك شرف 
positive,﻿يا طيب صباحك كل خيرات
positive,﻿صباح ملؤه الحب و العرفان
positive,﻿انا دايما فرحان و مش سائل بالدنيا و الحمد لله
negative, هدا ماهو عقل هدا تخلوف 
negative,﻿ ﻋﺎﻫﺎﺗﻚ ﻳﺎ ﻭﻃﻨﻲ
negative,الهم اجرنا من الظلم ولا تجعلنا من الظا لمين
negative, مش عارف كيف اهلهم سمحولهم يقدمو في البرنامج هادول شغل بطون
negative,الا لعنة الله على الشيعة الى يوم الدين
negative,خنقوووني
negative,هههههههه ولكو ما إحنا ميتين من دون هالوسطه
positive,يشم الطيب ويتعطر يا دكتور عمر
positive,﻿عيش زي ما بدك و ما ترد على حدا ابدا
negative, عــرب جـــرب
negative,بارد ومصقع
positive,اللهم لا تحرم احد من هذه النعمة
positive,﻿اللهم بارك فيك و عليك و ثبتك
negative,مؤامره معروفه ضد الشرفاء في هذا البلد
positive,من ترك شيءا لله عوضه الله خيرا منه
negative,﻿ حرام 
positive,﻿الحمد لله الذى لا يُحمد على مكره سواه
negative, اندهش لما عرف الحقيقة 
positive,الله يبارك لنا فى ايامنا
negative, والله تحشيش
negative,﻿و كمان بالمقارنة بالدول الأخرى في الجانب التقني فإن مفاعل Atmeapositive الفرنسي-الياباني و مفاعل AES92 الروسي لم يتم تجربة تشغيلهما بعد. فالأول لم يبدأ العمل على تصميمه بعد ، لذا لا توجد مراجعة شاملة و عميقة لسلامة التصميم، و بغض النظر عن الأردن فلا توجد أي آفاق تجارية لهذا النموذج حتى اللحظة. أما عن تصميم AES92 فتم في الهند و ذكرت تقارير أنه جاهز للعمل في نهاية 2negativepositive2، و لم يتم تشغيله لحد الآن
positive,﻿كن مع الله و لا تبالي 
positive,﻿صباح الخير و التفكر 
negative,ما انا شطبت
negative,منيك ولك 
negative, كافر ملعون جهنم باذن اللة
positive,﻿المسلم الفطن النقي يتصرف بما يرضي الله في السر و العلن نسأل الله عز وجل ان نتبع كل ما يرضيه عنا
negative,طبعا اكيد ﻻ والف ﻻ
positive,سبحان الله قادر على كل شىء
positive,اللهم استرنا وجميع بنات المسلمين
positive,لا استطيع اللهم ارزقنا العافية وشكر نعمتك
negative,كلب وحقير
positive,صباح الفل
positive,الخشوع هو المرحلة التالية للتركيز والتركيز يأتى بإطالة القراءة والتدبر واطالة الركوع والسجود
positive,﻿الدال على الخير كفاعله
positive,اللهم ارزقني كما ترزق البغاث 
positive,﻿اللهم ارزقنا السلامة و العافية في ديننا و دنيانا
negative,﻿احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة... القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب .
positive,اللهم اكرمنا برضاك
negative,اخبار "مسخرة".....!!!!
negative,هههههههههههههههههههههههههههههه­ههههه بكفي القعدة تبعته
positive,الله يصبحك برضاه
positive,سلمت امري ل ربي عالمين رغم البعد احس ان ربنا رح يكتب ويجمعنا ويكون نصيبي 
negative, لبنان وزبالتوا
negative, عاهاتك يا وطنعاهاتك يا وطن
negative,نعم اردننا غير قابل للتلاعب بارواح ابناءه
negative, حثاله على حثاله والحثاله انظف منهم
positive,هذا اكيد
positive,احسن أظن بالله وتوكل عليه وحده
negative,﻿ سخيفه ب قوووه
positive,لا يأس مع الحياه
negative, هذا اللى فالحين فيه العرب ، فقط الهبل و التخلف
positive,﻿سبحان الله و له فى خلقه شؤون
negative, بيخزي
positive,﻿اللهم ارزقنا الاخلاص في القول و العمل و في السر و العلن و في الرخاء و الشده و في العافيه و المرض و عند الابتلاء
negative,إحتمال ما يشارك الليو  االبايخ 
positive,انا علي ثقه اني استطيع فعل اي شئ لان أنا من صنع الله
negative,صراحة بخزي من دون مجاملة
positive,رجعتولنا الفرحة اللي نسيناها
positive,هل تعلم ان المطر يتشكل اولا على هيئة بلورات ثلج داخل الغيوم و يتحول الى قطرات ماء بعد ذوبانه و هو في طريقه الى اليابسة.
positive,ابتعد عن التشاؤم وعيش يومك بالتفاؤل لغد احلى
negative,كلامك في غاية الجديه صحيح
negative,﻿ واثق من نفسه الحبيب 
positive,انتا عظيم يا راجل
positive,﻿و بلبل شادى بفنه
negative,عنجد بخزي شو هاد على حساب ازياء طلع باله
negative, ايه الهبل دا
negative,انا خلينى ساكتة احسن
negative, بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون
positive,الله حيهم هالشباب انتوا القدوة
negative, هذا اللي بالنص من لجنة الحكم مفكر نفسو وديع الصافي و هو شقفة علاك 
positive,﻿الله يشافيك و يعافيك من كل داء وهامة أخي سيد الوكيل
positive,وأعظمها امة سيدنا محمد
negative,هاد كلو كزب ياهبلة والله
positive,﻿الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع
positive,نعم فالنجعل حب الله هو الغايه وربنايسامح كل تائب
positive,سبحان الله ان الله يرزق الدوده في جوف البحر
negative,﻿ الللجنه ما تنطاق
positive,قل لي من تصاحب أقول لك من أنت
positive,﻿صباح يغِسلُ گل ما لا يروقني فيً حيٱتيَ و حيٱة ٱحبتيّ و يِجًعلنٱ نتَنفِسْ حُبٱ
negative, غباء في غباء لان نفس الحركه صارت في american idol يعني قلدنه البرنامج وبعد التصرفات اوووف
positive,سبحانك ربي اني كنت من الضالمين
positive,﻿بارك اللة فيك و نتمنى المزيد من النصائح
positive, الحل الوحيييييييد(حب الله ورسوله وطاعتهم)
negative,﻿و الله و الله عباره عن أعاده تدوير للمخلفات النوويه و الأردن منها بس الأرض و الجمهور بتراب الفلوس ارحمو هل البلد هلكتوها صرنا علا لسان الكل انا إحنا حراميه و بس كلشي انباع بالبلد الواحد خايفه بكره يبعيوه كمان ارحمونا الله لا يسامحكم
negative,ما هيك بيقولوا : للأسف ما عجبت حدا . انت جاهل يا هذا . ليس هكذا تدعو الناس لقول لا اله الا الله محمد رسول الله . انت غبي يا صاحبل هذا البوست و لا تفقه شيئا من العلم و الدين . انت هيك تبين انك في قمة الجهل و العار . قل كلاما جيدا محببا و لا تتلفظ بالكلام السيئ . انما تعجبنا كلنا لو قلت انطقوا بالشهادتين يا أولي الالباب
negative, مسوي انه مندهش
negative, دار الزمن وصار الوسط الفني كله نفس ذي العاهات ووضحكو هما علينا
negative,﻿عادي محنا اتعودنا على الرفع من يوم يومنا و احنا ما بنعرف غير الرفع همه برفعو و نحنا بندفع و على حسابنا
positive,﻿يا جماعه دعواتكم لاهل سوريا فهم في اشد الحاجه لدعائنا لنرفع اكفنا لرب الكون ان يحميهم و يحمي كل امة محمد لا تنسوهم من دعائكم و المال الذي وهبكم الله فيا بني ادم يوما لك ويوما عليك و كما تدين تدان
positive,﻿اللهم اغفر له و وسع لك رحمتك له و اصلح له ذريته
positive,والنعم والاخلاق والنعم والصداقه والنعم ف الاخوه
positive,﻿و ريحة الياس و الحنة
negative, انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالمية ثالثة وما رح اتخلص غير لما نتخزق
positive,﻿صباحك طيب كطيب المسك و العنبر
negative,﻿احنا شعب مش عارفين نبني شارع و نعمل له صيانة كيف موضوع مفاعل ما عنا خبرة فيه و كل البلاد المتقدمة بس بلشت تلغي هذا النوع من الطاقة . رحنا لجأنا له. متناسين اننا في منطقة حفرة الانهدام و عرضة للزلازل . و غير اننا عرضة للنصب من خلال الجهل و الفساد المتفاقمين عنا. و غير نسب السرطان المتزايدة بدون واسطة . و بالاخير بقولوا عنا شعب متخلف اذا رفضنا علم صعب التطبيق عنا.. و الاولى انو نراجع ادارة الموارد و الاصلاح و تقويم انفسنا لحل مشاكل الطاقة وغيرها ....
negative,﻿ لو حد يا جماعة يعرف طبيب اذن يدلني ولا شكلي هارميهم خلاص باظو 
positive,والشكرلله والفضل لله على هذه النعمه التي انعم الله علينا بها وجعلنا من الماء كل شي حي
negative, انسان غريب 
positive,يا عني علي ذكرك و شكرك و حسن عبادتك
negative,﻿هو أحنا خلينآ نخلص أم هالبرجين الللي صرلهم positive6 سنة و بعدين بنفكر نعمل نووي " سلمي " هههه من الديسي
positive,يارب يقدرنا على ادخال المياه النظيفة لكل بيت محتاجة المياه
negative, لا حول ولا قوة اللا بالله العظيم ،لم أكن أعلم ان نسبة ذكاء العرب منخفضه جدا الى هذا الحد
negative,من وين انجيب حرام عليكم
negative,﻿حسبنا الله و نعم الوكيل في اناس همهم تجويع الشعب
negative,مسكيييييييييين﻿
negative, يلعن اخت المياعة والبياخة
negative, صوتك موش حلو
positive,ما اروع برنامج الطريق الى الله
positive,الكلام في البدايه بكون حلو لاكن من يبقي خير
positive,روعه
negative, يعني هي ما راح تعتزر
negative, هذا انا واغني وانا بالحمام وانتوا .. بكرامه صوتي احلا من العاهات هذيل
positive,احسنت و ابدعت و وصفت ما يدور او يجول في راس كل شاب ملتزم و كل فتاه عفيفه نقيه تقيه
positive,ربنا يبارك فيك
negative, وش جابني هنا ثقيلين دم
negative, حثالة و شباب صايع
positive,لو نريد الخشوع حقا نطلق الدنيا
negative,المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه وستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة
positive,فعلا والله هو القرار والثبات عليه
negative,﻿و الله مش عارفة شو بدنا نسوي نشحد مثلا
positive,حلو الشخص يكون عنده هدف و يشتغل عليه لكن الدراسه شئ ضروري .. 
positive,المهم هو الصادق معي الناصح لي
positive,الحب في الله شيء جميل جدا 
positive,يارب احمينا من شرور انفسنا وسىئات اعمالنا
negative,﻿أنا ضد النووي .و الأﺟﺪﻯ ﺑﺪﻭﻟﻪ كالأردن البحث عن مصادر للطاقه النظيفه .و خصوصا إننا نفتقر للماء . و الأجدى بنا أيضا أن نبحث عن سبل لحل مشكلة المياه بالمبالغ التي ستصرف على المفاعلات النوويه
positive,الوفاء في غير قلبك ما لقيت
positive,يارب دعوناك فستجب لنا وحقق لنا ماهو اصلح وافضل لنا
negative, هبله
positive,﻿اللهم اجعل سريرتي خير من على نيتي و اجعل على نيتي صالحة
negative, حتى فى التخلف مش فالحين منيح
positive,﻿اللهم نقي نفوسنا و أجعلنا لك من المخلصين سرا و جهرا 
positive,﻿الله على دينا العظيم
negative, بعضهم جايبينهم تمثيل 
negative,اللي لفت انتباهي الدبه اللي﻿ جنبها
negative,﻿بس مو مزبوط
positive,﻿يا رب بلغنا رمضان و أنت راضي عنا 
positive,اشداء على الكفار رحماء بينهم
negative,مارح يتغير شي بعد 5negative سنه رح نلاقي بالجرايد خالد النووي يطالب ابراهيم النووي بتأجيل مشروع المفاعل النووي لان في مشاريع اهم زي مياه سفيان الديسي وخط ابو يوسف للباص السريع ... عادي
negative, قرف شوهاد شي بخزي عنجد 
negative, روح انتحر !! 
negative, عاهاتك يا وطني
positive,هذا هو المهم
positive,﻿كل شخص فينا بيتمنى الخشوع في صلاته يا رب يتقبل صلاتنا و صيامنا
positive,هاي اخلاق خليلنا الحبيب
positive,صباحات الانوار 
positive,جزاك الله خيرا ياأستاذ مصطفى على ماتبثه في انفسنا ربنا يكثر من أمثالك
positive,﻿تسلم انت و افكارك
positive,﻿ربنا يهدينا و يهدي بينا أمة محمد الغافلين
positive,اللهم اعنى على ترك المعاصى حبا فى نور وجهك
positive,﻿و مفيش احلى من قضاء ربنا
positive,الماء اساس الحياه
negative,﻿ من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحة المياه اما كعلوم و معرفة بالعلوم النووية و الطاقة فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندلييف للعناصر مرورا ب العناصر المشعة و نظرية اينشتاين للطاقة و نظريات الفيزياء الكمية و البحث في عمر البروتون و النيوترينو والكواركات واللبتونات والuncertainty principle و النظائر المشعة و تفتيت الذرة و اشعة جاما و بيتا و الفا و الراديوم و البلوتونيوم و البروتونات و كافة النظريات بما فيها انواع المفاعلات النووية و تجارب الامم فيها مثل اليابان و المانيا و روسيا و فرنسا و امريكا و للعلم فقط انها علوم نظريا سهلة و بسيطة و يستطيع فهمها حتى الانسان ذو الخلفية و الرغبة العلمية و على جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه و نسير فيه بهذا الخصوص بموازنة المخاطر و المكاسب و بعدها و على اساس النتيجة و الفائدة الواضحة يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا
positive,﻿أنما بعثت لأتم مكارم الأخلاق
negative, السادس الراء رايحه
positive,﻿اللهم انا نعوذ بك من الرياء و النفاق
positive,صدقت
positive,﻿يا رب اسعد قلبي
positive,﻿اللهم احسن خواتيم اعمالنا و اجعل كل اوقاتنا طاعه
negative,نار جهنم تاخدو
positive,يا عطاء. يامنان يا اكرم الاكرمين
negative, ياحيوان 
positive,﻿صدقتي رائعه و معبره الكلام
negative,واو حلو
positive,﻿الله يعطيك الصحه و العافيه  
positive,﻿الحمد لله على نعمة الإسلام
negative, اااه ياشويه عاهااااااات
negative, لالا بس اغلبهم داريين بس يقولها استعباط ورفع ضعط خذها مني
positive,﻿الرائع سيظل رائعا حتى نهاية العمر
positive,﻿و خير الابتسامة 
negative,·          رائع والله اصبت القول الاسف لاكن مافي أي حدآ بيستحمل الانتقآد ؟؟
positive,اللهم إني اعود بك من الذنوب التي تزيل نعمتك وتحول عافيتك وتحبس رزقك وتعجل بغضبك
positive,﻿يا لطيف الله يلطف فينا و يصلحنا ظاهر باطن
negative,﻿ ومازال العود مصدي 
negative, والله شككني في البرنامج انة سوبر ستار او برنامج كوميدي
positive,انا لا أحلم ان اغير العالم ولكن احلم بأن استطيع ان ارسم البسمه علي وجوه الآخرين
